iter	Passed	Remaining
0	6	6770
1	11	5687
2	15	5226
3	23	5860
4	28	5765
5	33	5506
6	40	5774
7	44	5560
8	49	5423
9	55	5452
10	58	5293
11	62	5175
12	68	5181
13	76	5393
14	89	5857
15	93	5770
16	101	5862
17	106	5811
18	110	5700
19	115	5669
20	120	5597
21	123	5507
22	127	5431
23	133	5437
24	137	5360
25	141	5295
26	145	5247
27	149	5197
28	153	5145
29	157	5096
30	161	5041
31	165	5017
32	169	4972
33	173	4937
34	180	4977
35	185	4974
36	189	4940
37	193	4905
38	198	4894
39	202	4859
40	206	4823
41	210	4795
42	214	4770
43	218	4747
44	222	4717
45	226	4692
46	230	4678
47	234	4651
48	238	4630
49	244	4650
50	248	4630
51	255	4659
52	264	4734
53	274	4815
54	287	4936
55	292	4926
56	298	4937
57	302	4913
58	307	4900
59	312	4902
60	316	4873
61	320	4849
62	324	4821
63	329	4821
64	333	4794
65	337	4769
66	340	4744
67	344	4722
68	348	4698
69	353	4692
70	361	4734
71	365	4715
72	370	4708
73	379	4754
74	383	4731
75	387	4710
76	392	4705
77	396	4684
78	400	4666
79	404	4649
80	410	4653
81	415	4649
82	419	4631
83	424	4628
84	430	4632
85	434	4616
86	439	4617
87	447	4636
88	451	4619
89	457	4625
90	463	4625
91	468	4626
92	484	4721
93	490	4725
94	495	4719
95	499	4701
96	503	4684
97	510	4696
98	514	4683
99	518	4666
100	525	4677
101	529	4658
102	533	4643
103	539	4651
104	544	4642
105	548	4625
106	552	4610
107	558	4614
108	562	4597
109	567	4593
110	576	4620
111	580	4606
112	585	4595
113	592	4606
114	597	4600
115	604	4603
116	610	4609
117	614	4592
118	620	4593
119	626	4597
120	631	4587
121	637	4590
122	644	4593
123	648	4579
124	656	4592
125	663	4600
126	678	4665
127	689	4699
128	693	4685
129	698	4676
130	708	4700
131	714	4695
132	774	5047
133	779	5040
134	792	5077
135	803	5106
136	817	5150
137	824	5148
138	832	5153
139	839	5153
140	842	5133
141	846	5115
142	857	5137
143	862	5126
144	869	5125
145	875	5118
146	883	5128
147	891	5130
148	896	5117
149	903	5119
150	908	5109
151	914	5101
152	919	5092
153	925	5085
154	932	5082
155	938	5075
156	941	5056
157	948	5054
158	954	5049
159	959	5035
160	967	5040
161	973	5037
162	978	5022
163	989	5043
164	993	5027
165	1000	5028
166	1009	5037
167	1039	5149
168	1091	5364
169	1107	5406
170	1138	5521
171	1150	5540
172	1155	5522
173	1162	5516
174	1168	5507
175	1173	5493
176	1183	5504
177	1189	5491
178	1196	5486
179	1202	5478
180	1212	5485
181	1220	5483
182	1266	5654
183	1286	5704
184	1310	5774
185	1370	5996
186	1396	6069
187	1402	6059
188	1411	6058
189	1415	6036
190	1419	6014
191	1426	6001
192	1431	5984
193	1439	5979
194	1450	5986
195	1461	5996
196	1465	5974
197	1472	5966
198	1478	5951
199	1482	5928
200	1491	5927
201	1495	5906
202	1498	5885
203	1506	5879
204	1511	5860
205	1514	5838
206	1520	5826
207	1524	5805
208	1528	5785
209	1532	5765
210	1540	5761
211	1546	5747
212	1553	5740
213	1558	5723
214	1563	5707
215	1571	5702
216	1574	5681
217	1578	5662
218	1592	5679
219	1599	5671
220	1605	5659
221	1608	5638
222	1618	5638
223	1622	5621
224	1626	5602
225	1633	5595
226	1637	5577
227	1641	5557
228	1647	5548
229	1652	5530
230	1655	5512
231	1660	5495
232	1666	5484
233	1670	5467
234	1674	5449
235	1684	5452
236	1688	5434
237	1691	5416
238	1699	5409
239	1703	5393
240	1706	5375
241	1712	5364
242	1716	5348
243	1720	5330
244	1724	5313
245	1731	5307
246	1735	5290
247	1739	5274
248	1746	5266
249	1750	5252
250	1754	5235
251	1758	5219
252	1764	5210
253	1768	5194
254	1771	5176
255	1776	5161
256	1782	5153
257	1786	5139
258	1792	5128
259	1799	5121
260	1803	5106
261	1810	5098
262	1816	5089
263	1819	5073
264	1823	5058
265	1830	5050
266	1833	5034
267	1837	5018
268	1843	5010
269	1847	4995
270	1851	4980
271	1855	4966
272	1861	4956
273	1864	4941
274	1868	4926
275	1876	4923
276	1880	4909
277	1884	4894
278	1888	4880
279	1894	4872
280	1898	4858
281	1902	4843
282	1907	4833
283	1912	4821
284	1916	4806
285	1919	4793
286	1927	4787
287	1930	4772
288	1934	4758
289	1940	4751
290	1943	4736
291	1947	4721
292	1951	4708
293	1957	4700
294	1961	4687
295	1964	4673
296	1968	4660
297	1977	4658
298	1982	4646
299	1985	4633
300	1991	4625
301	1995	4611
302	1999	4598
303	2003	4587
304	2008	4577
305	2012	4564
306	2016	4551
307	2023	4545
308	2026	4532
309	2030	4520
310	2036	4511
311	2041	4501
312	2045	4489
313	2048	4476
314	2055	4469
315	2059	4457
316	2062	4444
317	2066	4431
318	2072	4425
319	2078	4416
320	2082	4404
321	2089	4398
322	2092	4386
323	2096	4374
324	2100	4362
325	2106	4354
326	2109	4340
327	2112	4328
328	2117	4318
329	2122	4309
330	2126	4297
331	2129	4284
332	2135	4277
333	2139	4266
334	2143	4254
335	2146	4241
336	2152	4234
337	2156	4223
338	2159	4211
339	2163	4199
340	2170	4193
341	2174	4183
342	2177	4171
343	2187	4170
344	2191	4160
345	2194	4148
346	2200	4140
347	2204	4130
348	2208	4119
349	2212	4108
350	2219	4103
351	2223	4092
352	2226	4080
353	2231	4071
354	2236	4062
355	2239	4051
356	2243	4040
357	2249	4033
358	2253	4022
359	2256	4011
360	2261	4003
361	2268	3998
362	2272	3987
363	2278	3980
364	2287	3980
365	2291	3969
366	2297	3962
367	2301	3952
368	2304	3941
369	2308	3930
370	2314	3924
371	2318	3914
372	2322	3903
373	2325	3892
374	2331	3886
375	2335	3876
376	2339	3865
377	2343	3855
378	2348	3848
379	2352	3837
380	2355	3827
381	2359	3817
382	2366	3811
383	2369	3801
384	2373	3791
385	2383	3791
386	2387	3781
387	2391	3771
388	2398	3766
389	2401	3756
390	2405	3746
391	2411	3740
392	2415	3730
393	2419	3720
394	2422	3711
395	2428	3703
396	2432	3694
397	2435	3684
398	2439	3674
399	2443	3665
400	2447	3656
401	2451	3647
402	2455	3637
403	2459	3628
404	2463	3619
405	2467	3610
406	2471	3600
407	2475	3592
408	2479	3583
409	2483	3573
410	2486	3563
411	2491	3555
412	2496	3548
413	2500	3539
414	2504	3530
415	2510	3524
416	2514	3515
417	2517	3505
418	2523	3498
419	2526	3489
420	2530	3480
421	2533	3470
422	2539	3463
423	2543	3454
424	2547	3446
425	2550	3437
426	2555	3429
427	2559	3420
428	2563	3411
429	2567	3403
430	2573	3397
431	2577	3389
432	2581	3380
433	2585	3372
434	2591	3366
435	2595	3357
436	2599	3349
437	2604	3341
438	2608	3332
439	2612	3324
440	2616	3316
441	2621	3309
442	2626	3302
443	2630	3293
444	2634	3285
445	2637	3276
446	2641	3268
447	2645	3259
448	2648	3250
449	2652	3242
450	2656	3233
451	2660	3225
452	2664	3217
453	2669	3210
454	2674	3204
455	2679	3196
456	2682	3187
457	2687	3179
458	2691	3172
459	2694	3163
460	2698	3155
461	2703	3148
462	2707	3140
463	2711	3131
464	2719	3128
465	2724	3121
466	2728	3113
467	2732	3105
468	2735	3097
469	2739	3088
470	2742	3080
471	2746	3072
472	2749	3063
473	2753	3055
474	2757	3047
475	2761	3040
476	2766	3033
477	2771	3026
478	2775	3018
479	2778	3010
480	2782	3002
481	2788	2996
482	2792	2988
483	2795	2980
484	2800	2974
485	2805	2966
486	2808	2958
487	2813	2951
488	2817	2944
489	2821	2936
490	2825	2928
491	2829	2921
492	2833	2913
493	2836	2905
494	2840	2897
495	2843	2889
496	2847	2882
497	2851	2874
498	2855	2866
499	2859	2859
500	2863	2852
501	2869	2846
